#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-04T11:02:48 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-04T11:02:48	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A%2BA/554/A98/table5&-out.max=99999&-out=Teff,logg,M,f1(V),f2(V),f3(V),f4(V)	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35540098
#Name: J/A+A/554/A98
#Title: Limb-darkening coefficients for red giants (Neilson+, 2013)
#INFO	ivoid=ivo://cds.vizier/j/a+a/554/a98	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/554/a98	    IVOID of underlying data collection
#INFO	creator=Neilson H.R.	    First author or institution
#INFO	cites=bibcode:2013A&A...554A..98N	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2013	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/554/A98	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35540098	    Dataset identifier that can be used for citation
#INFO	publication_date=2013-12-29	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_554_A98_table5:
#Name: J/A+A/554/A98/table5
#Title: Spherical 4-parameter limb-darkening coefficients
#Column	Teff	(I4)	[3000/8000] Model effective temperature	[ucd=phys.temperature.effective;meta.modelled]
#Column	logg	(F5.2)	[-1/3] Model surface gravity	[ucd=phys.gravity;meta.modelled]
#Column	M	(F4.1)	[0.5/20] Model mass	[ucd=phys.mass;meta.modelled]
#Column	f1(V)	(F7.4)	V-band four-parameter f_1_ coefficient (G4)	[ucd=phot.limbDark]
#Column	f2(V)	(F8.4)	V-band four-parameter f_2_ coefficient (G4)	[ucd=phot.limbDark]
#Column	f3(V)	(F8.4)	V-band four-parameter f_3_ coefficient (G4)	[ucd=phot.limbDark]
#Column	f4(V)	(F8.4)	V-band four-parameter f_4_ coefficient (G4)	[ucd=phot.limbDark]
Teff	logg	M	f1(V)	f2(V)	f3(V)	f4(V)
4700	 0.00	 5.0	 0.7429	 -6.1725	 13.0928	 -6.6648
4800	 0.00	 5.0	 0.8993	 -6.8242	 14.0508	 -7.1174
4900	 0.00	 5.0	 1.0511	 -7.4516	 14.9606	 -7.5420
5000	 0.00	 5.0	 1.6980	 -9.9250	 18.2621	 -8.9724
3000	 2.00	 5.0	-6.6295	 27.6395	-41.7849	 21.3272
3000	 2.25	 5.0	-6.0371	 25.2407	-37.9701	 19.3593
3000	 2.50	 5.0	-5.6564	 23.7210	-35.5137	 18.0691
3000	 0.25	 5.0	-2.3822	 10.1763	-12.4146	  5.4747
3000	 2.75	 5.0	-4.4917	 19.1060	-28.2092	 14.2941
3100	 2.00	 5.0	-0.6874	  4.9336	 -6.8290	  3.5136
3100	 2.25	 5.0	-3.8889	 16.8961	-25.0926	 12.8197
3100	 2.50	 5.0	-4.9605	 20.9601	-31.2882	 15.9536
3100	 0.25	 5.0	-2.7629	 11.4576	-13.8636	  6.0002
3100	 2.75	 5.0	-4.9603	 20.7694	-30.8386	 15.6948
3200	 2.00	 5.0	 0.2131	  3.0930	 -4.9717	  2.6871
3200	 2.25	 5.0	-0.4899	  4.2429	 -5.7219	  2.9225
3200	 2.50	 5.0	-2.1932	 10.4485	-15.1902	  7.7765
3200	 0.25	 5.0	-1.8903	  8.0075	-10.3547	  5.1254
3200	 2.75	 5.0	-3.2807	 14.3383	-20.8790	 10.5980
3300	 2.00	 5.0	 1.0392	 -0.1773	 -0.6290	  0.8513
3300	 2.25	 5.0	 0.7131	  0.9778	 -2.1965	  1.5571
3300	 2.50	 5.0	 1.7032	 -2.2545	  2.9900	 -1.3180
3300	 0.25	 5.0	-3.0733	 11.5230	-13.5017	  5.8473
3300	 2.75	 5.0	-0.5450	  4.3177	 -5.9650	  3.1226
3400	 2.00	 5.0	 0.5892	  0.8480	 -1.8934	  1.5234
3400	 2.25	 5.0	 1.1690	 -1.0726	  0.5201	  0.4770
3400	 2.50	 5.0	 1.3374	 -1.7960	  1.6610	 -0.1110
3400	 0.25	 5.0	-1.6239	  5.4161	 -5.3065	  2.3968
3400	 2.75	 5.0	 2.1180	 -3.7079	  4.4298	 -1.7005
3500	 2.00	 5.0	 0.3218	  2.1472	 -3.5296	  2.1264
3500	 2.25	 5.0	 0.9365	 -0.5108	  0.0644	  0.6002
3500	 2.50	 5.0	 1.2098	 -1.2980	  0.9494	  0.2392
3500	 0.25	 5.0	-1.7351	  5.0419	 -3.7900	  1.3449
3500	 2.75	 5.0	 1.4546	 -2.2425	  2.2691	 -0.3762
3600	 2.00	 5.0	 0.2197	  2.1701	 -3.1440	  1.8146
3600	 2.25	 5.0	 0.7176	  0.8287	 -1.9465	  1.4920
3600	 2.50	 5.0	 1.0966	 -0.5759	  0.0547	  0.5337
3600	 0.25	 5.0	-1.7204	  4.7032	 -3.0477	  0.9223
3600	 2.75	 5.0	 1.4016	 -1.9644	  1.8997	 -0.2234
3700	 2.00	 5.0	 0.0492	  2.9135	 -4.1459	  2.2377
3700	 2.25	 5.0	 0.5685	  1.2391	 -2.1434	  1.4219
3700	 2.50	 5.0	 1.0072	 -0.2178	 -0.4040	  0.7234
3700	 0.25	 5.0	-1.6397	  4.1700	 -2.0707	  0.3992
3700	 2.75	 5.0	 1.3434	 -1.4182	  1.1042	  0.0923
3800	 2.00	 5.0	-0.1042	  3.4695	 -4.7752	  2.4565
3800	 2.25	 5.0	 0.4442	  1.7434	 -2.7699	  1.6639
3800	 2.50	 5.0	 0.9191	  0.1823	 -0.9041	  0.9107
3800	 0.25	 5.0	-1.6322	  3.9765	 -1.5938	  0.1061
3800	 2.75	 5.0	 1.2998	 -1.1406	  0.7344	  0.2314
3900	 2.00	 5.0	-0.2763	  4.0641	 -5.4478	  2.6962
3900	 2.25	 5.0	 0.3180	  2.2146	 -3.3116	  1.8546
3900	 2.50	 5.0	 0.8784	  0.3969	 -1.1466	  0.9801
3900	 0.25	 5.0	-1.5490	  3.4906	 -0.7523	 -0.3303
3900	 2.75	 5.0	 1.2349	 -0.8241	  0.3408	  0.3736
4000	 2.00	 5.0	-0.3341	  4.3269	 -5.7531	  2.7947
4000	 2.25	 5.0	 0.2110	  2.6232	 -3.7849	  2.0212
4000	 2.50	 5.0	 0.7408	  0.9119	 -1.7589	  1.2084
4000	 0.25	 5.0	-1.5383	  3.3236	 -0.3659	 -0.5618
4000	 2.75	 5.0	 1.1802	 -0.5701	  0.0418	  0.4728
4100	 2.00	 5.0	-0.5042	  4.9269	 -6.4626	  3.0636
4100	 2.25	 5.0	 0.1299	  2.9640	 -4.2014	  2.1745
4100	 2.50	 5.0	 0.6821	  1.1870	 -2.1025	  1.3343
4100	 0.25	 5.0	-1.6292	  3.6057	 -0.5947	 -0.5311
4100	 2.75	 5.0	 1.1422	 -0.3653	 -0.2106	  0.5586
4200	 2.00	 5.0	-0.5767	  5.2416	 -6.8481	  3.2034
4200	 2.25	 5.0	 0.0781	  3.2221	 -4.5286	  2.2938
4200	 2.50	 5.0	 0.6427	  1.4006	 -2.3717	  1.4288
4200	 0.25	 5.0	-1.5531	  3.1794	  0.1093	 -0.8825
4200	 2.75	 5.0	 1.1213	 -0.2115	 -0.4103	  0.6265
4300	 2.00	 5.0	-0.6529	  5.5859	 -7.2919	  3.3755
4300	 2.25	 5.0	 0.0205	  3.5109	 -4.9108	  2.4429
4300	 2.50	 5.0	 0.6191	  1.5778	 -2.6182	  1.5223
4300	 0.25	 5.0	-1.6095	  3.3268	  0.0281	 -0.8972
4300	 2.75	 5.0	 1.1153	 -0.0906	 -0.5880	  0.6912
4400	 2.00	 5.0	-0.7204	  5.9071	 -7.7070	  3.5342
4400	 2.25	 5.0	-0.0261	  3.7692	 -5.2581	  2.5774
4400	 2.50	 5.0	 0.5951	  1.7631	 -2.8793	  1.6225
4400	 0.25	 5.0	-1.5400	  2.9400	  0.6982	 -1.2475
4400	 2.75	 5.0	 1.1105	  0.0282	 -0.7688	  0.7597
4500	 2.00	 5.0	-0.7929	  6.2446	 -8.1499	  3.7088
4500	 2.25	 5.0	-0.0681	  4.0165	 -5.5990	  2.7121
4500	 2.50	 5.0	 0.5705	  1.9622	 -3.1696	  1.7389
4500	 0.25	 5.0	-1.4860	  2.6362	  1.2327	 -1.5303
4500	 2.75	 5.0	 1.0998	  0.1783	 -0.9985	  0.8515
4600	 2.00	 5.0	-0.8730	  6.6120	 -8.6319	  3.8998
4600	 2.25	 5.0	-0.1178	  4.2951	 -5.9850	  2.8679
4600	 2.50	 5.0	 0.5499	  2.1419	 -3.4327	  1.8437
4600	 0.25	 5.0	-1.5879	  2.9890	  0.8600	 -1.4157
4600	 2.75	 5.0	 1.1218	  0.2196	 -1.0951	  0.8885
4700	 2.00	 5.0	-0.9628	  7.0163	 -9.1633	  4.1125
4700	 2.25	 5.0	-0.1518	  4.5318	 -6.3258	  3.0059
4700	 2.50	 5.0	 0.5365	  2.3135	 -3.6985	  1.9527
4700	 0.25	 5.0	-1.3681	  2.0003	  2.3324	 -2.1070
4700	 2.75	 5.0	 1.1085	  0.3856	 -1.3501	  0.9922
4800	 2.00	 5.0	-1.0494	  7.4005	 -9.6684	  4.3157
4800	 2.25	 5.0	-0.2282	  4.9042	 -6.8326	  3.2139
4800	 2.50	 5.0	 0.4854	  2.6121	 -4.1255	  2.1314
4800	 0.25	 5.0	-1.1572	  1.0665	  3.7235	 -2.7633
4800	 2.75	 5.0	 1.0859	  0.5960	 -1.6750	  1.1307
4900	 2.00	 5.0	-1.2263	  8.0522	-10.4728	  4.6342
4900	 2.25	 5.0	-0.3442	  5.3814	 -7.4482	  3.4623
4900	 2.50	 5.0	 0.4149	  2.9674	 -4.6175	  2.3364
4900	 0.25	 5.0	-1.0830	  0.6999	  4.3218	 -3.0657
4900	 2.75	 5.0	 1.0523	  0.8462	 -2.0521	  1.2919
5000	 2.00	 5.0	-1.4085	  8.7128	-11.2853	  4.9567
5000	 2.25	 5.0	-0.4890	  5.9546	 -8.1854	  3.7632
5000	 2.50	 5.0	 0.2955	  3.4740	 -5.2848	  2.6112
5000	 0.25	 5.0	-0.7139	 -0.8566	  6.5483	 -4.0824
5000	 2.75	 5.0	 0.9748	  1.2224	 -2.5657	  1.5049
5100	 2.00	 5.0	-1.6660	  9.5821	-12.3157	  5.3575
5100	 2.25	 5.0	-0.6909	  6.6979	 -9.1157	  4.1400
5100	 2.50	 5.0	 0.1433	  4.0857	 -6.0792	  2.9386
5100	 0.25	 5.0	-0.4959	 -1.7862	  7.9060	 -4.7154
5100	 2.75	 5.0	 0.8636	  1.7234	 -3.2464	  1.7921
5200	 2.00	 5.0	-1.8740	 10.2993	-13.1763	  5.6947
5200	 2.25	 5.0	-0.9262	  7.5320	-10.1348	  4.5454
5200	 2.50	 5.0	-0.0353	  4.7771	 -6.9672	  3.3042
5200	 0.25	 5.0	 0.2508	 -4.7583	 11.9673	 -6.5026
5200	 2.75	 5.0	 0.7334	  2.2816	 -3.9931	  2.1057
5300	 2.00	 5.0	-2.0801	 10.9896	-13.9875	  6.0073
5300	 2.25	 5.0	-1.1159	  8.2097	-10.9666	  4.8773
5300	 2.50	 5.0	-0.1992	  5.4013	 -7.7554	  3.6231
5300	 2.75	 5.0	 0.6049	  2.8159	 -4.6933	  2.3944
5400	 2.00	 5.0	-2.2747	 11.6524	-14.7778	  6.3158
5400	 2.25	 5.0	-1.2833	  8.8141	-11.7156	  5.1786
5400	 2.50	 5.0	-0.3452	  5.9647	 -8.4780	  3.9202
5400	 2.75	 5.0	 0.4988	  3.2729	 -5.3080	  2.6537
5500	 2.00	 5.0	-2.4330	 12.1832	-15.3974	  6.5517
5500	 2.25	 5.0	-1.4489	  9.4055	-12.4371	  5.4636
5500	 2.50	 5.0	-0.4669	  6.4399	 -9.0860	  4.1682
5500	 2.75	 5.0	 0.4149	  3.6431	 -5.8050	  2.8611
5600	 2.00	 5.0	-2.6011	 12.7236	-16.0100	  6.7797
5600	 2.25	 5.0	-1.6037	  9.9418	-13.0801	  5.7150
5600	 2.50	 5.0	-0.6033	  6.9517	 -9.7282	  4.4270
5600	 2.75	 5.0	 0.3119	  4.0731	 -6.3700	  3.0944
5700	 2.00	 5.0	-2.7505	 13.2089	-16.5657	  6.9885
5700	 2.25	 5.0	-1.7360	 10.4075	-13.6454	  5.9382
5700	 2.50	 5.0	-0.7095	  7.3590	-10.2465	  4.6383
5700	 2.75	 5.0	 0.2383	  4.3964	 -6.8069	  3.2786
5800	 2.00	 5.0	-2.8179	 13.4544	-16.8546	  7.0950
5800	 2.25	 5.0	-1.7952	 10.6455	-13.9442	  6.0549
5800	 2.50	 5.0	-0.7559	  7.5642	-10.5139	  4.7448
5800	 2.75	 5.0	 0.2087	  4.5590	 -7.0336	  3.3719
5900	 2.00	 5.0	-2.8622	 13.6389	-17.0896	  7.1873
5900	 2.25	 5.0	-1.8247	 10.7911	-14.1394	  6.1329
5900	 2.50	 5.0	-0.7775	  7.6985	-10.7094	  4.8275
5900	 2.75	 5.0	 0.2009	  4.6524	 -7.1828	  3.4364
6000	 2.00	 5.0	-2.8875	 13.7512	-17.2236	  7.2331
6000	 2.25	 5.0	-1.8423	 10.8883	-14.2658	  6.1792
6000	 2.50	 5.0	-0.7822	  7.7593	-10.7971	  4.8597
6000	 2.75	 5.0	 0.2060	  4.6909	 -7.2536	  3.4651
6100	 2.00	 5.0	-2.9097	 13.8487	-17.3355	  7.2686
6100	 2.25	 5.0	-1.8527	 10.9564	-14.3516	  6.2074
6100	 2.50	 5.0	-0.7784	  7.7870	-10.8407	  4.8729
6100	 2.75	 5.0	 0.2223	  4.6833	 -7.2596	  3.4645
6200	 2.00	 5.0	-2.9379	 13.9682	-17.4821	  7.3224
6200	 2.25	 5.0	-1.8692	 11.0453	-14.4670	  6.2499
6200	 2.50	 5.0	-0.7763	  7.8239	-10.9026	  4.8968
6200	 2.75	 5.0	 0.2378	  4.6778	 -7.2727	  3.4696
6300	 2.00	 5.0	-2.9788	 14.1132	-17.6371	  7.3707
6300	 2.25	 5.0	-1.8954	 11.1531	-14.5893	  6.2893
6300	 2.50	 5.0	-0.7818	  7.8724	-10.9625	  4.9140
6300	 2.75	 5.0	 0.2484	  4.6773	 -7.2777	  3.4660
6400	 2.00	 5.0	-3.0278	 14.2853	-17.8313	  7.4383
6400	 2.25	 5.0	-1.9358	 11.3063	-14.7696	  6.3543
6400	 2.50	 5.0	-0.7966	  7.9541	-11.0681	  4.9524
6400	 2.75	 5.0	 0.2489	  4.7114	 -7.3293	  3.4837
6500	 2.00	 5.0	-3.1060	 14.5279	-18.0828	  7.5195
6500	 2.25	 5.0	-1.9993	 11.5211	-15.0068	  6.4358
6500	 2.50	 5.0	-0.8345	  8.0983	-11.2330	  5.0089
6500	 2.75	 5.0	 0.2292	  4.8022	 -7.4366	  3.5193
6600	 2.00	 5.0	-3.2188	 14.8636	-18.4295	  7.6344
6600	 2.25	 5.0	-2.0920	 11.8222	-15.3399	  6.5538
6600	 2.50	 5.0	-0.8995	  8.3277	-11.4962	  5.1035
6600	 2.75	 5.0	 0.1900	  4.9577	 -7.6216	  3.5859
6700	 2.00	 5.0	-3.3058	 15.1336	-18.7187	  7.7338
6700	 2.25	 5.0	-2.1716	 12.0886	-15.6425	  6.6640
6700	 2.50	 5.0	-0.9607	  8.5488	-11.7577	  5.2012
6700	 2.75	 5.0	 0.1387	  5.1549	 -7.8615	  3.6770
6800	 2.00	 5.0	-3.4472	 15.5458	-19.1465	  7.8794
6800	 2.25	 5.0	-2.3029	 12.5014	-16.0975	  6.8278
6800	 2.50	 5.0	-1.0793	  8.9434	-12.2100	  5.3696
6800	 2.75	 5.0	 0.0604	  5.4362	 -8.1943	  3.8022
6900	 2.00	 5.0	-3.5351	 15.8140	-19.4334	  7.9790
6900	 2.25	 5.0	-2.4199	 12.8744	-16.5160	  6.9816
6900	 2.50	 5.0	-1.1517	  9.1969	-12.5059	  5.4795
6900	 2.75	 5.0	-0.0109	  5.6973	 -8.5080	  3.9220
7000	 2.00	 5.0	-3.7001	 16.2972	-19.9535	  8.1674
7000	 2.25	 5.0	-2.6033	 13.4397	-17.1459	  7.2156
7000	 2.50	 5.0	-1.2916	  9.6596	-13.0426	  5.6838
7000	 2.75	 5.0	-0.1332	  6.1192	 -9.0071	  4.1138
7100	 2.00	 5.0	-3.9516	 16.9764	-20.6340	  8.3985
7100	 2.25	 5.0	-2.9072	 14.3407	-18.1340	  7.5825
7100	 2.50	 5.0	-1.4229	 10.0994	-13.5605	  5.8840
7100	 2.75	 5.0	-0.2712	  6.5929	 -9.5706	  4.3326
7200	 2.00	 5.0	-4.0566	 17.2926	-20.9759	  8.5208
7200	 2.25	 5.0	-2.7345	 13.9144	-17.7366	  7.4539
7200	 2.50	 5.0	-1.6280	 10.7593	-14.3298	  6.1839
7200	 2.75	 5.0	-0.4197	  7.1023	-10.1837	  4.5752
7300	 2.00	 5.0	-4.4485	 18.2553	-21.8281	  8.7662
7300	 2.25	 5.0	-3.5864	 16.2841	-20.2184	  8.3470
7300	 2.50	 5.0	-1.4291	 10.2128	-13.7536	  5.9709
7300	 2.75	 5.0	-0.3893	  7.0556	-10.1595	  4.5701
7400	 2.00	 5.0	-4.5420	 18.5626	-22.1712	  8.8883
7400	 2.25	 5.0	-3.5531	 16.2686	-20.2604	  8.3754
7400	 2.50	 5.0	-2.3065	 12.8737	-16.7678	  7.1353
7400	 2.75	 5.0	-0.3271	  6.9112	-10.0296	  4.5274
7500	 2.25	 5.0	-3.9081	 17.2717	-21.3044	  8.7416
7500	 2.50	 5.0	-2.5517	 13.6447	-17.6562	  7.4795
7500	 2.75	 5.0	-1.2557	  9.8615	-13.4985	  5.9095
7600	 2.50	 5.0	-2.7845	 14.3830	-18.5030	  7.8033
7600	 2.75	 5.0	-1.4735	 10.5874	-14.3795	  6.2673
7700	 2.50	 5.0	-2.9169	 14.8470	-19.0583	  8.0179
7700	 2.75	 5.0	-1.5936	 11.0245	-14.9210	  6.4839
7800	 2.50	 5.0	-3.1782	 15.6778	-20.0139	  8.3841
7800	 2.75	 5.0	-1.8666	 11.9252	-15.9907	  6.9066
7900	 2.50	 5.0	-3.3166	 16.1693	-20.6075	  8.6152
7900	 2.75	 5.0	-1.9998	 12.4198	-16.6014	  7.1473
8000	 2.75	 5.0	-2.2255	 13.1840	-17.5225	  7.5142
3000	 0.50	 5.0	-1.7168	  8.2764	-10.1518	  4.4973
3100	 0.50	 5.0	-2.1716	 10.0159	-12.4169	  5.4530
3200	 0.50	 5.0	-1.8450	  8.5703	-11.1195	  5.2962
3300	 0.50	 5.0	-2.5371	 10.3223	-12.5275	  5.5889
3400	 0.50	 5.0	-1.7387	  6.6160	 -7.3857	  3.3978
3500	 0.50	 5.0	-2.1459	  7.3247	 -7.2648	  2.9349
3600	 0.50	 5.0	-2.2571	  7.4823	 -7.2158	  2.8271
3700	 0.50	 5.0	-2.3071	  7.3763	 -6.7625	  2.5211
3800	 0.50	 5.0	-2.3254	  7.2575	 -6.3815	  2.2725
3900	 0.50	 5.0	-2.3842	  7.3762	 -6.3610	  2.1866
4000	 0.50	 5.0	-2.4126	  7.3009	 -6.0685	  1.9923
4100	 0.50	 5.0	-2.4845	  7.4738	 -6.1595	  1.9758
4200	 0.50	 5.0	-2.5479	  7.6179	 -6.2092	  1.9388
4300	 0.50	 5.0	-2.5975	  7.7205	 -6.2215	  1.8931
4400	 0.50	 5.0	-2.6469	  7.8061	 -6.1906	  1.8210
4500	 0.50	 5.0	-2.6868	  7.8668	 -6.1445	  1.7497
4600	 0.50	 5.0	-2.6846	  7.7427	 -5.8335	  1.5587
4700	 0.50	 5.0	-2.6616	  7.5128	 -5.3633	  1.2942
4800	 0.50	 5.0	-2.6328	  7.2808	 -4.8993	  1.0331
4900	 0.50	 5.0	-2.4784	  6.4653	 -3.5984	  0.3993
5000	 0.50	 5.0	-2.4629	  6.3177	 -3.2860	  0.2183
5100	 0.50	 5.0	-2.3240	  5.6042	 -2.1417	 -0.3455
5200	 0.50	 5.0	-1.8255	  3.3987	  1.0625	 -1.8150
5300	 0.50	 5.0	-1.3619	  1.4199	  3.8983	 -3.1081
5400	 0.50	 5.0	-1.2094	  0.7452	  4.8970	 -3.5760
5500	 0.50	 5.0	-1.0004	 -0.1470	  6.1906	 -4.1739
3000	 0.75	 5.0	-1.3724	  7.4910	 -9.3756	  4.1900
3100	 0.75	 5.0	-1.5577	  8.3397	-10.5180	  4.6627
3200	 0.75	 5.0	-1.4867	  7.9456	-10.4996	  4.9748
3300	 0.75	 5.0	-1.0920	  4.7349	 -5.1623	  2.4601
3400	 0.75	 5.0	-1.5112	  6.6054	 -8.0053	  3.8300
3500	 0.75	 5.0	-1.9970	  7.5656	 -8.1458	  3.4518
3600	 0.75	 5.0	-2.3466	  8.6777	 -9.3946	  3.9111
3700	 0.75	 5.0	-2.4697	  8.8766	 -9.3906	  3.8183
3800	 0.75	 5.0	-2.5820	  9.0905	 -9.4262	  3.7412
3900	 0.75	 5.0	-2.6785	  9.2668	 -9.4349	  3.6602
4000	 0.75	 5.0	-2.7658	  9.5074	 -9.6184	  3.6831
4100	 0.75	 5.0	-2.8664	  9.8920	-10.0579	  3.8322
4200	 0.75	 5.0	-2.9741	 10.1231	-10.1724	  3.8125
4300	 0.75	 5.0	-3.0656	 10.4065	-10.4427	  3.8838
4400	 0.75	 5.0	-3.1600	 10.6829	-10.6825	  3.9338
4500	 0.75	 5.0	-3.2497	 10.9352	-10.8921	  3.9731
4600	 0.75	 5.0	-3.3367	 11.2712	-11.2789	  4.1055
4700	 0.75	 5.0	-3.3791	 11.1880	-10.9328	  3.8773
4800	 0.75	 5.0	-3.4287	 11.2449	-10.8569	  3.7882
4900	 0.75	 5.0	-3.4337	 11.0101	-10.2989	  3.4646
5000	 0.75	 5.0	-3.4603	 10.9927	-10.1333	  3.3390
5100	 0.75	 5.0	-3.3664	 10.2896	 -8.8840	  2.6983
5200	 0.75	 5.0	-3.2390	  9.5285	 -7.6164	  2.0673
5300	 0.75	 5.0	-3.1378	  8.9428	 -6.6414	  1.5797
5400	 0.75	 5.0	-3.0017	  8.2233	 -5.4944	  1.0212
5500	 0.75	 5.0	-3.0141	  8.2121	 -5.3960	  0.9447
5600	 0.75	 5.0	-2.8977	  7.6151	 -4.4414	  0.4756
5700	 0.75	 5.0	-2.3828	  5.3197	 -1.0986	 -1.0585
5800	 0.75	 5.0	-2.2265	  4.6085	 -0.0254	 -1.5684
5900	 0.75	 5.0	-2.0009	  3.6237	  1.4084	 -2.2302
6000	 0.75	 5.0	-1.2743	  0.6252	  5.6033	 -4.1080
3000	 1.00	 5.0	-0.9436	  6.2088	 -7.9239	  3.6166
3000	 1.25	 5.0	-0.3634	  4.8832	 -6.7194	  3.1934
3000	 1.50	 5.0	 0.2454	  1.7685	 -1.4131	  0.4305
3000	 1.75	 5.0	-4.0266	 17.5226	-26.1051	 13.3320
3100	 1.00	 5.0	-1.0773	  6.9565	 -8.9086	  3.9895
3100	 1.25	 5.0	-0.4759	  5.2006	 -6.8419	  3.1172
3100	 1.50	 5.0	-0.2101	  4.2320	 -5.8594	  2.8396
3100	 1.75	 5.0	 0.1749	  3.1616	 -4.2374	  1.9362
3200	 1.00	 5.0	-1.0238	  6.7672	 -9.0242	  4.2493
3200	 1.25	 5.0	-0.5445	  5.5671	 -7.6726	  3.6521
3200	 1.50	 5.0	-0.0534	  3.9179	 -5.6508	  2.8153
3200	 1.75	 5.0	 0.4966	  2.0824	 -3.2339	  1.7116
3300	 1.00	 5.0	-0.5246	  3.1482	 -3.7052	  2.0661
3300	 1.25	 5.0	-0.2927	  3.5005	 -5.1126	  2.9155
3300	 1.50	 5.0	 0.0075	  3.0461	 -4.7569	  2.7360
3300	 1.75	 5.0	 0.3611	  2.3207	 -4.0915	  2.4646
3400	 1.00	 5.0	-1.2121	  6.1713	 -7.8824	  3.8725
3400	 1.25	 5.0	-1.0032	  6.3350	 -8.6415	  4.2864
3400	 1.50	 5.0	-0.4588	  4.2418	 -5.6916	  2.9164
3400	 1.75	 5.0	 0.3168	  1.5738	 -2.6867	  1.8492
3500	 1.00	 5.0	-1.5829	  6.7855	 -7.7000	  3.4132
3500	 1.25	 5.0	-0.9886	  5.1361	 -6.0235	  2.8397
3500	 1.50	 5.0	-0.5307	  4.1789	 -5.3719	  2.7275
3500	 1.75	 5.0	-0.0505	  3.1445	 -4.6564	  2.6041
3600	 1.00	 5.0	-2.0982	  8.6168	 -9.9568	  4.3189
3600	 1.25	 5.0	-1.6036	  7.5328	 -9.0727	  4.0707
3600	 1.50	 5.0	-0.9767	  5.8808	 -7.4121	  3.4867
3600	 1.75	 5.0	-0.3361	  3.8754	 -5.0722	  2.5566
3700	 1.00	 5.0	-2.2578	  8.9798	-10.1807	  4.3251
3700	 1.25	 5.0	-1.8008	  8.1006	 -9.6445	  4.2566
3700	 1.50	 5.0	-1.1217	  6.3901	 -8.0092	  3.7113
3700	 1.75	 5.0	-0.5612	  4.7686	 -6.2470	  3.0517
3800	 1.00	 5.0	-2.4300	  9.4349	-10.5578	  4.4045
3800	 1.25	 5.0	-1.9914	  8.6480	-10.1634	  4.4037
3800	 1.50	 5.0	-1.4066	  7.2193	 -8.8544	  3.9901
3800	 1.75	 5.0	-0.7603	  5.4267	 -6.9713	  3.3043
3900	 1.00	 5.0	-2.5586	  9.7733	-10.8199	  4.4459
3900	 1.25	 5.0	-2.0806	  8.9553	-10.4611	  4.4775
3900	 1.50	 5.0	-1.5602	  7.7379	 -9.4150	  4.1753
3900	 1.75	 5.0	-0.9217	  5.9652	 -7.5510	  3.4964
4000	 1.00	 5.0	-2.6905	 10.1617	-11.1777	  4.5365
4000	 1.25	 5.0	-2.3028	  9.6138	-11.1370	  4.6993
4000	 1.50	 5.0	-1.7333	  8.2885	-10.0033	  4.3735
4000	 1.75	 5.0	-1.0682	  6.4809	 -8.1406	  3.7074
4100	 1.00	 5.0	-2.8157	 10.5596	-11.5874	  4.6639
4100	 1.25	 5.0	-2.4345	 10.0600	-11.6278	  4.8661
4100	 1.50	 5.0	-1.8483	  8.7020	-10.4737	  4.5378
4100	 1.75	 5.0	-1.1835	  6.9132	 -8.6497	  3.8926
4200	 1.00	 5.0	-2.9343	 10.9498	-11.9924	  4.7884
4200	 1.25	 5.0	-2.5548	 10.4865	-12.1070	  5.0309
4200	 1.50	 5.0	-1.9628	  9.1287	-10.9697	  4.7143
4200	 1.75	 5.0	-1.2762	  7.2823	 -9.0912	  4.0524
4300	 1.00	 5.0	-3.0472	 11.3402	-12.4243	  4.9348
4300	 1.25	 5.0	-2.6806	 10.9461	-12.6450	  5.2266
4300	 1.50	 5.0	-2.0774	  9.5742	-11.5126	  4.9192
4300	 1.75	 5.0	-1.3717	  7.6810	 -9.5912	  4.2439
4400	 1.00	 5.0	-3.1621	 11.7210	-12.8255	  5.0616
4400	 1.25	 5.0	-2.7860	 11.3313	-13.0857	  5.3806
4400	 1.50	 5.0	-2.1784	  9.9670	-11.9806	  5.0894
4400	 1.75	 5.0	-1.4673	  8.0814	-10.0894	  4.4322
4500	 1.00	 5.0	-3.2798	 12.1131	-13.2473	  5.2001
4500	 1.25	 5.0	-2.9177	 11.7985	-13.6232	  5.5734
