#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-04T11:07:02 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-04T11:07:02	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A%2BA/529/A75/tableeq5&Z=0.0&xi=2.0&Filt=%3D%3DV&Met=L&Mod=A&-out.max=99999&-out=logg,Teff,a1,a2,a3,a4	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35290075
#Name: J/A+A/529/A75
#Title: Limb-darkening coefficients (Claret+, 2011)
#INFO	ivoid=ivo://cds.vizier/j/a+a/529/a75	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/529/a75	    IVOID of underlying data collection
#INFO	creator=Claret A.	    First author or institution
#INFO	cites=bibcode:2011A&A...529A..75C	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2011	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/529/A75	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35290075	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-29	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_529_A75_tableeq5:
#Name: J/A+A/529/A75/tableeq5
#Title: a1, a2, a3, a4 limb darkening coefficients from equation 5
#Column	logg	(F5.2)	[0/5] Surface gravity	[ucd=phys.gravity]
#Column	Teff	(F6)	[2000/50000] Effective temperature	[ucd=phys.temperature.effective]
#Column	a1	(F7.4)	Equation 5 limb darkening coefficient a1 (G2)	[ucd=phot.limbDark]
#Column	a2	(F7.4)	Equation 5 limb darkening coefficient a2 (G2)	[ucd=phot.limbDark]
#Column	a3	(F7.4)	Equation 5 limb darkening coefficient a3 (G2)	[ucd=phot.limbDark]
#Column	a4	(F7.4)	Equation 5 limb darkening coefficient a4 (G2)	[ucd=phot.limbDark]
logg	Teff	a1	a2	a3	a4
 5.00	 15000	 0.6604	-0.1792	 0.0897	-0.0264
 2.50	 16000	 0.7128	-0.1395	 0.0684	-0.0188
 3.00	 16000	 0.8097	-0.4524	 0.3587	-0.1197
 3.50	 16000	 0.7886	-0.4760	 0.3863	-0.1309
 4.00	 16000	 0.7395	-0.4041	 0.3196	-0.1084
 4.50	 16000	 0.6961	-0.3174	 0.2314	-0.0764
 5.00	 16000	 0.6702	-0.2556	 0.1662	-0.0527
 2.50	 17000	 0.7030	-0.1056	 0.0366	-0.0088
 3.00	 17000	 0.8406	-0.5284	 0.4285	-0.1431
 3.50	 17000	 0.8241	-0.5780	 0.4834	-0.1641
 4.00	 17000	 0.7647	-0.4927	 0.4058	-0.1382
 4.50	 17000	 0.7111	-0.3910	 0.3052	-0.1022
 5.00	 17000	 0.6786	-0.3196	 0.2314	-0.0753
 2.50	 18000	 0.6716	-0.0016	-0.0718	 0.0293
 3.00	 18000	 0.8627	-0.5746	 0.4694	-0.1573
 3.50	 18000	 0.8569	-0.6689	 0.5721	-0.1955
 4.00	 18000	 0.7873	-0.5674	 0.4758	-0.1611
 4.50	 18000	 0.7249	-0.4535	 0.3670	-0.1235
 5.00	 18000	 0.6846	-0.3698	 0.2824	-0.0931
 2.50	 19000	 0.6260	 0.1553	-0.2477	 0.0955
 3.00	 19000	 0.8787	-0.5901	 0.4726	-0.1572
 3.50	 19000	 0.8897	-0.7488	 0.6453	-0.2203
 4.00	 19000	 0.8157	-0.6523	 0.5588	-0.1903
 4.50	 19000	 0.7413	-0.5160	 0.4270	-0.1437
 5.00	 19000	 0.6929	-0.4179	 0.3295	-0.1089
 3.00	 20000	 0.8898	-0.5758	 0.4329	-0.1386
 3.50	 20000	 0.9256	-0.8272	 0.7160	-0.2453
 4.00	 20000	 0.8529	-0.7543	 0.6608	-0.2274
 4.50	 20000	 0.7681	-0.6013	 0.5124	-0.1740
 5.00	 20000	 0.7107	-0.4872	 0.4005	-0.1345
 3.00	 21000	 0.9041	-0.5600	 0.3818	-0.1128
 3.50	 21000	 0.9614	-0.8893	 0.7588	-0.2575
 4.00	 21000	 0.8878	-0.8367	 0.7349	-0.2527
 4.50	 21000	 0.7972	-0.6855	 0.5959	-0.2040
 5.00	 21000	 0.7312	-0.5561	 0.4684	-0.1580
 3.00	 22000	 0.9199	-0.5547	 0.3439	-0.0911
 3.50	 22000	 1.0017	-0.9519	 0.7905	-0.2621
 4.00	 22000	 0.9321	-0.9327	 0.8182	-0.2808
 4.50	 22000	 0.8337	-0.7761	 0.6791	-0.2324
 5.00	 22000	 0.7613	-0.6422	 0.5530	-0.1881
 3.00	 23000	 0.9158	-0.5143	 0.2840	-0.0637
 3.50	 23000	 1.0474	-1.0318	 0.8415	-0.2738
 4.00	 23000	 0.9799	-1.0297	 0.8950	-0.3046
 4.50	 23000	 0.8780	-0.8799	 0.7737	-0.2651
 5.00	 23000	 0.7993	-0.7404	 0.6469	-0.2212
 3.00	 24000	 0.8802	-0.4074	 0.1758	-0.0238
 3.50	 24000	 1.0817	-1.0900	 0.8741	-0.2786
 4.00	 24000	 1.0250	-1.1168	 0.9546	-0.3189
 4.50	 24000	 0.9210	-0.9718	 0.8484	-0.2884
 5.00	 24000	 0.8344	-0.8195	 0.7123	-0.2414
 3.00	 25000	 0.8190	-0.2442	 0.0285	 0.0231
 3.50	 25000	 1.0984	-1.1110	 0.8795	-0.2761
 4.00	 25000	 1.0665	-1.2039	 1.0222	-0.3384
 4.50	 25000	 0.9630	-1.0617	 0.9197	-0.3098
 5.00	 25000	 0.8696	-0.8939	 0.7688	-0.2574
 3.00	 26000	 0.7473	-0.0474	-0.1565	 0.0832
 3.50	 26000	 1.0919	-1.0735	 0.8322	-0.2567
 4.00	 26000	 1.0933	-1.2573	 1.0601	-0.3477
 4.50	 26000	 0.9970	-1.1363	 0.9778	-0.3265
 5.00	 26000	 0.9021	-0.9653	 0.8250	-0.2742
 3.50	 27000	 1.0769	-1.0138	 0.7684	-0.2341
 4.00	 27000	 1.1057	-1.2764	 1.0696	-0.3487
 4.50	 27000	 1.0185	-1.1850	 1.0149	-0.3369
 5.00	 27000	 0.9240	-1.0151	 0.8617	-0.2844
 3.50	 28000	 1.0565	-0.9321	 0.6771	-0.2017
 4.00	 28000	 1.1047	-1.2542	 1.0345	-0.3330
 4.50	 28000	 1.0256	-1.1945	 1.0121	-0.3325
 5.00	 28000	 0.9315	-1.0299	 0.8620	-0.2804
 3.50	 29000	 1.0456	-0.8715	 0.6022	-0.1742
 4.00	 29000	 1.1088	-1.2501	 1.0271	-0.3317
 4.50	 29000	 1.0303	-1.2011	 1.0126	-0.3315
 5.00	 29000	 0.9363	-1.0475	 0.8775	-0.2861
 3.50	 30000	 1.0422	-0.8252	 0.5393	-0.1520
 4.00	 30000	 1.1158	-1.2504	 1.0169	-0.3268
 4.50	 30000	 1.0327	-1.2018	 1.0079	-0.3294
 5.00	 30000	 0.9322	-1.0402	 0.8643	-0.2798
 3.50	 31000	 1.0399	-0.7659	 0.4478	-0.1142
 4.00	 31000	 1.1314	-1.2734	 1.0288	-0.3306
 4.50	 31000	 1.0365	-1.2074	 1.0059	-0.3274
 5.00	 31000	 0.9251	-1.0259	 0.8443	-0.2715
 4.00	 32000	 1.1532	-1.3057	 1.0442	-0.3343
 4.50	 32000	 1.0476	-1.2373	 1.0314	-0.3367
 5.00	 32000	 0.9256	-1.0422	 0.8634	-0.2799
 4.00	 33000	 1.1883	-1.3653	 1.0818	-0.3451
 4.50	 33000	 1.0675	-1.2918	 1.0836	-0.3566
 5.00	 33000	 0.9232	-1.0502	 0.8691	-0.2815
 4.00	 34000	 1.2359	-1.4512	 1.1374	-0.3589
 4.50	 34000	 1.0983	-1.3674	 1.1516	-0.3813
 5.00	 34000	 0.9329	-1.0934	 0.9156	-0.3001
 4.00	 35000	 1.2971	-1.5786	 1.2383	-0.3887
 4.50	 35000	 1.1369	-1.4555	 1.2223	-0.4034
 5.00	 35000	 0.9485	-1.1469	 0.9686	-0.3207
 4.00	 36000	 1.3532	-1.7037	 1.3464	-0.4230
 4.50	 36000	 1.1893	-1.5808	 1.3298	-0.4381
 5.00	 36000	 0.9739	-1.2226	 1.0398	-0.3462
 4.00	 37000	 1.3941	-1.7945	 1.4275	-0.4495
 4.50	 37000	 1.2494	-1.7363	 1.4749	-0.4873
 5.00	 37000	 1.0098	-1.3234	 1.1308	-0.3764
 4.00	 38000	 1.4185	-1.8428	 1.4709	-0.4643
 4.50	 38000	 1.3013	-1.8740	 1.6063	-0.5322
 5.00	 38000	 1.0515	-1.4443	 1.2456	-0.4158
 4.00	 39000	 1.4288	-1.8505	 1.4722	-0.4638
 4.50	 39000	 1.3435	-1.9881	 1.7198	-0.5725
 5.00	 39000	 1.0907	-1.5609	 1.3580	-0.4540
 4.50	 40000	 1.3728	-2.0632	 1.7927	-0.5977
 5.00	 40000	 1.1270	-1.6709	 1.4697	-0.4941
 4.50	 41000	 1.3961	-2.1172	 1.8438	-0.6157
 5.00	 41000	 1.1569	-1.7611	 1.5633	-0.5284
 4.50	 42000	 1.4160	-2.1582	 1.8799	-0.6278
 5.00	 42000	 1.1790	-1.8231	 1.6242	-0.5496
 4.50	 43000	 1.4330	-2.1886	 1.9041	-0.6354
 5.00	 43000	 1.1994	-1.8771	 1.6772	-0.5684
 4.50	 44000	 1.4495	-2.2162	 1.9236	-0.6406
 5.00	 44000	 1.2168	-1.9208	 1.7195	-0.5834
 4.50	 45000	 1.4651	-2.2394	 1.9373	-0.6433
 5.00	 45000	 1.2320	-1.9550	 1.7490	-0.5927
 4.50	 46000	 1.4829	-2.2689	 1.9591	-0.6496
 5.00	 46000	 1.2477	-1.9903	 1.7803	-0.6032
 4.50	 47000	 1.4999	-2.2940	 1.9753	-0.6538
 5.00	 47000	 1.2637	-2.0264	 1.8128	-0.6141
 4.50	 48000	 1.5177	-2.3203	 1.9930	-0.6588
 5.00	 48000	 1.2821	-2.0677	 1.8505	-0.6271
 4.50	 49000	 1.5335	-2.3389	 2.0011	-0.6596
 5.00	 49000	 1.3017	-2.1131	 1.8940	-0.6428
 5.00	 50000	 1.3177	-2.1445	 1.9182	-0.6496

