#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-04T13:10:18 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-04T13:10:18	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=I/239/hip_main&Vmag=%3C3.6&-out.max=999&-out=HIP,RAICRS,DEICRS,Plx,pmRA,pmDE,Vmag,B-V	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#INFO	ivoid=ivo://cds.vizier/i/239	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/i/239	    IVOID of underlying data collection
#INFO	creator=ESA 1997	    First author or institution
#INFO	cites=1997HIP...C......0E	    Article or Data origin sources
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/I/239	    Dataset landing page
#INFO	publication_date=2021-11-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_1991.250:	ICRS
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue
#Column	HIP	(I6)	Identifier (HIP number) (H1)	[ucd=meta.id;meta.main]
#Column	RAICRS	(F12.8)	? alpha, degrees (ICRS, Epoch=J1991.25) (H8)	[ucd=pos.eq.ra;meta.main]
#Column	DEICRS	(F12.8)	? delta, degrees (ICRS, Epoch=J1991.25) (H9)	[ucd=pos.eq.dec;meta.main]
#Column	Plx	(F7.2)	? Trigonometric parallax (H11)	[ucd=pos.parallax.trig]
#Column	pmRA	(F8.2)	*? Proper motion mu_alpha.cos(delta), ICRS(H12)	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F8.2)	*? Proper motion mu_delta, ICRS (H13)	[ucd=pos.pm;pos.eq.dec]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	? Johnson B-V colour (H37)	[ucd=phot.color;em.opt.B;em.opt.V]
HIP	RAICRS	DEICRS	Plx	pmRA	pmDE	Vmag	B-V
 89937	275.25974572	+72.73369763	 124.11	  531.08	 -351.59	 3.55	 0.489
 89962	275.32883578	-02.89712200	  52.81	 -547.57	 -700.72	 3.23	 0.941
 90185	276.04310967	-34.38431460	  22.55	  -39.61	 -124.05	 1.79	-0.031
 90422	276.74345947	-45.96832919	  13.08	  -16.68	  -53.33	 3.49	-0.179
 90496	276.99278955	-25.42124732	  42.20	  -44.81	 -186.29	 2.82	 1.025
 91262	279.23410832	+38.78299311	 128.93	  201.02	  287.46	 0.03	-0.001
 92041	281.41397083	-26.99077940	  14.14	   51.15	    0.45	 3.17	-0.107
 92420	282.51997462	+33.36267788	   3.70	    1.10	   -4.46	 3.52	 0.003
 92855	283.81631956	-26.29659428	  14.54	   13.87	  -52.65	 2.05	-0.134
 93085	284.43241556	-21.10662433	   8.76	   34.91	  -12.33	 3.52	 1.151
 93194	284.73593568	+32.68955312	   5.14	   -2.76	    1.77	 3.25	-0.049
 93506	285.65301428	-29.88011429	  36.61	  -14.10	    3.66	 2.60	 0.062
 93747	286.35255180	+13.86370983	  39.18	   -7.04	  -95.31	 2.99	 0.014
 93805	286.56229139	-04.88233456	  26.05	  -19.68	  -90.37	 3.43	-0.096
 93864	286.73517629	-27.66981416	  27.09	  -50.79	 -250.51	 3.32	 1.169
 94141	287.44097404	-21.02352534	   7.41	   -1.17	  -36.83	 2.88	 0.377
 94376	288.13814581	+67.66131695	  32.54	   94.49	   92.30	 3.07	 0.990
 95501	291.37396941	+03.11457923	  65.05	  253.06	   80.67	 3.36	 0.319
 95947	292.68035529	+27.95969480	   8.46	   -7.09	   -5.63	 3.05	 1.088
 97165	296.24350878	+45.13069195	  19.07	   43.22	   48.44	 2.86	-0.002
 97278	296.56487567	+10.61326869	   7.08	   15.72	   -3.08	 2.72	 1.507
 97649	297.69450860	+08.86738491	 194.44	  536.82	  385.54	 0.76	 0.221
 98337	299.68911516	+19.49209287	  11.90	   64.37	   22.58	 3.51	 1.571
 99240	302.17441713	-66.17932101	 163.73	 1210.29	-1130.34	 3.55	 0.751
 99473	302.82610327	-00.82147569	  11.36	   35.48	    6.05	 3.24	-0.066
100064	304.51341030	-12.54485877	  30.01	   61.78	    2.85	 3.58	 0.883
100345	305.25269347	-14.78140119	   9.48	   48.42	   14.00	 3.05	 0.790
100453	305.55708346	+40.25668150	   2.14	    2.43	   -0.93	 2.23	 0.673
100751	306.41187347	-56.73488071	  17.80	    7.71	  -86.15	 1.94	-0.118
101772	309.39162365	-47.29166239	  32.21	   49.20	   66.07	 3.11	 0.998
102098	310.35797270	+45.28033423	   1.01	    1.56	    1.55	 1.25	 0.092
102395	311.23981530	-66.20323826	  23.71	  -42.40	   10.57	 3.42	 0.163
102422	311.32195263	+61.83679404	  69.73	   86.08	  817.89	 3.41	 0.912
102488	311.55180091	+33.96945334	  45.26	  356.16	  330.28	 2.48	 1.021
104732	318.23408977	+30.22708128	  21.62	    6.87	  -68.12	 3.21	 0.990
105199	319.64408982	+62.58545529	  66.84	  149.91	   48.27	 2.45	 0.257
106032	322.16489595	+70.56069481	   5.48	   12.60	    8.73	 3.23	-0.201
106278	322.88966951	-05.57115593	   5.33	   22.79	   -6.70	 2.90	 0.828
107315	326.04641808	+09.87500791	   4.85	   30.02	    1.38	 2.38	 1.520
107556	326.75952199	-16.12656595	  84.58	  263.26	 -296.23	 2.85	 0.180
108085	328.48189202	-37.36482290	  16.07	   95.88	  -12.10	 3.00	-0.084
109074	331.44593869	-00.31982656	   4.30	   17.90	   -9.93	 2.95	 0.969
109268	332.05781838	-46.96061593	  32.16	  127.60	 -147.91	 1.73	-0.070
109427	332.54924902	+06.19778900	  33.77	  281.96	   31.23	 3.52	 0.086
109492	332.71359131	+58.20124992	   4.49	   13.35	    4.49	 3.39	 1.558
110130	334.62574257	-60.25949486	  16.42	  -71.48	  -38.15	 2.87	 1.390
112029	340.36531181	+10.83139111	  15.64	   77.38	  -10.98	 3.41	-0.086
112122	340.66639531	-46.88456594	  19.17	  135.68	   -4.51	 2.07	 1.610
112158	340.75053573	+30.22130866	  15.18	   13.11	  -26.11	 2.93	 0.852
112623	342.13832136	-51.31670354	  25.16	  108.47	  -65.93	 3.49	 0.083
112724	342.42046735	+66.20071089	  28.27	  -66.10	 -124.74	 3.50	 1.053
112748	342.50041810	+24.60168486	  27.95	  144.11	  -43.44	 3.51	 0.933
113136	343.66266350	-15.82075994	  20.44	  -44.08	  -24.81	 3.27	 0.066
113368	344.41177323	-29.62183701	 130.08	  329.22	 -164.22	 1.17	 0.145
113881	345.94305575	+28.08245462	  16.37	  187.76	  137.61	 2.44	 1.655
113963	346.19007020	+15.20536786	  23.36	   61.10	  -42.56	 2.49	-0.002
116727	354.83742516	+77.63196681	  72.50	  -48.85	  127.18	 3.21	 1.031

